Latitude,Longitude,Rated_output,Socket_1,P1,Socket_2,P2,Socket_3,P3,Socket_4,P4,Max_socket_power,Max_power
48.003414,9.658568,22.0,AC Kupplung Typ 2,22,0,0,0,0,0,0,22,22.0
48.0065,9.65591,30.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
48.004245,9.652649,30.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
47.993,9.98683,22.0,"AC Steckdose Typ 2, AC Kupplung Typ 2",22,"AC Steckdose Typ 2, AC Kupplung Typ 2",22,0,0,0,0,22,22.0
47.993,9.98683,22.0,"AC Steckdose Typ 2, AC Kupplung Typ 2",22,"AC Steckdose Typ 2, AC Kupplung Typ 2",22,0,0,0,0,22,22.0
47.993,9.98683,22.0,"AC Steckdose Typ 2, AC Kupplung Typ 2",22,"AC Steckdose Typ 2, AC Kupplung Typ 2",22,0,0,0,0,22,22.0
47.993,9.98683,22.0,"AC Steckdose Typ 2, AC Kupplung Typ 2",22,"AC Steckdose Typ 2, AC Kupplung Typ 2",22,0,0,0,0,22,22.0
48.013527,10.031169,30.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
47.955148,9.940088,30.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
47.9753074,9.9403362,30.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
48.18667,9.83276,44.0,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,11,11.0
48.174367,9.793933,30.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
47.986925,9.771755,98.0,AC Kupplung Typ 2,43,"DC Kupplung Combo, DC CHAdeMO",50,DC Kupplung Combo,50,0,0,50,50.0
48.002722,9.823643,30.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.000146,9.891401,39.6,DC Kupplung Combo,22,AC Steckdose Typ 2,11,0,0,0,0,22,22.0
48.15324,9.85578999999999,30.0,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,0,0,0,0,22,22.0
48.0642929,9.8301367,30.0,"AC Steckdose Typ 2, AC Schuko",22,"AC Steckdose Typ 2, AC Schuko",22,0,0,0,0,22,22.0
